id,source,reason,text
21289058-d355-4ae5-9207-122f9854d152,play_store,too_short,Nice 👍
a2f6efcf-2bd0-49d7-ab16-da756305deb1,play_store,too_short,bahuat चाहिए है
2f2b871e-1114-45f4-a8b4-c0b7a688c396,play_store,too_short,like
8bd0584f-df16-429e-89b5-5eaac2db6d14,play_store,too_short,ok
5300d583-6dba-4cfb-b051-b65dcbab1775,play_store,too_short,good डिलीवरी
56a4eb3d-b2c5-4cee-a96f-81ebb15eddd3,play_store,too_short,thank❤
45668b45-8558-4035-9077-15adaeb3a9e6,play_store,too_short,so good coupons
ec6ed2ff-1f2e-4202-b578-0ca8e3094f04,play_store,too_short,♥️♥️♥️♥️
356c7bef-c46c-41d0-9de2-31d4e3e05b39,play_store,too_short,best service
f28de0fa-4580-4e53-af7d-d02bc7ec8e1b,play_store,too_short,good
aa898cfa-9830-4488-877f-c4c38924fa53,play_store,too_short,good savis
8c8350ce-be0b-47a9-9692-56f05e53e69a,play_store,too_short,nice sarvice
462c43e3-6120-4c79-8782-b9ba43862b00,play_store,too_short,good app
966f639d-f3d5-4dd4-b839-382e6336c9de,play_store,too_short,best app
e027fda2-372c-439a-a19e-8556dfa59631,play_store,too_short,good 👍
0ddc96cd-5cd3-4d1b-afa9-55c08bca5300,play_store,too_short,good
3da10e0c-c0ab-4a0d-9263-0a12a9514f46,play_store,too_short,good to nice
bac3c0e4-6560-40da-be29-bea1c7109e33,play_store,too_short,Nice
fea29a90-615e-45bf-8ff8-baeaea88202d,play_store,too_short,good 👍
83630977-b565-4d8a-a043-b21792a71799,play_store,too_short,👌
ce445819-80b2-4fa3-97fa-6f646e46d2b0,play_store,too_short,👍
72ea8e13-1489-4dfc-9b1d-22c7adc22317,play_store,too_short,nice service
bf364897-c4cb-4194-b7cd-1ef1a3323901,play_store,too_short,good
991b1a0c-5282-431b-9171-eea5c8fd0f8b,play_store,too_short,बहुत ही अच्छा ऐप्स
c3b590c2-effd-4805-b427-f8a7082ff82c,play_store,too_short,good
a723b646-9a43-4f4f-885a-cd0bfc679cd3,play_store,too_short,Bast exprinc
0aaea2b1-23aa-40f7-aaa9-e816eb48f9c9,play_store,too_short,good 👍
5b844a16-f86b-44b5-b0bf-af9656d1c222,play_store,too_short,sab acha h
be7d05a2-336e-43bf-8cdd-98cf901a0b2b,play_store,too_short,good
cdc5a51c-0f00-42e6-9e04-71b5b3673528,play_store,too_short,good
9e556e56-fe8d-4930-8672-fb524e87e9e3,play_store,too_short,😍😍😍😍
29e777d1-2800-4b63-b90f-7f39419ccfa5,play_store,too_short,very good service
8701672e-6a92-4035-82e1-a60def682c5d,play_store,too_short,ख़राब है
b2926f95-0a7a-4683-8fb7-4da67a5524f8,play_store,too_short,बढ़िया सर्विस है
a40696ba-2526-4f7c-a0c9-4e53239d54bc,play_store,too_short,fast delivery 🚚🚚
3f44dcd0-6d6b-4123-97a7-86d481984ab9,play_store,too_short,good
b3f36aec-ee54-43a2-8128-eab0286e736c,play_store,too_short,bad man
45e05871-52ee-46b6-8b97-c28bfa4b8644,play_store,too_short,good
baeac8e0-6d1f-4827-b015-de2d14af1a4b,play_store,too_short,good
f302ad5f-27ff-4e3e-afe2-2043202d4b05,play_store,too_short,❤️
793e131e-606b-42ea-8d7f-9e8e20e3ecfa,play_store,too_short,good
50bd941d-ab75-48ed-bec8-e6d58a1a52fd,play_store,too_short,good
ae8335da-992a-47bc-840f-636757f17ba0,play_store,too_short,jabardast
8bf992b6-dd58-4bb2-b937-ebe16e621426,play_store,too_short,बहुत सुंदर
8f2fae79-8144-47c0-8150-40dde639ee8e,play_store,too_short,good
5f994fd3-cdd6-4408-a89f-dbf14715782d,play_store,too_short,nice
cf4cc46f-7eee-4500-a514-c38126dabec2,play_store,too_short,🙏😊👌
fdfa46fd-46fb-4310-bfc8-e63b7557d17f,play_store,too_short,super star ⭐
c7353a8e-447c-4cdb-97bd-b9b3b2fc2cd3,play_store,too_short,मस्त
4b8f49b7-be55-4a73-8fef-de68a3ffb85a,play_store,too_short,nice good wark
1059cbd5-a015-49ac-88a5-ea8eda461940,play_store,too_short,best app
